model,rmse,mae,r2
Ridge Regression,1782843.5400076844,856219.0097567337,0.7726143104391939
Random Forest,842583.6195383937,310416.6817171098,0.9492118154196071
XGBoost,816135.3500955467,332293.79004199995,0.9523502041644647
LightGBM,838625.3077202428,344153.77150856564,0.9496878827242514
